wbs_id,parent_wbs,level,element_name,responsible_org,description
1.0,,1,Lunar Gateway Program,NASA JSC,"Top-level program encompassing all elements of the NASA-led international Lunar Gateway space station in Near-Rectilinear Halo Orbit (NRHO). Total lifecycle baseline FY2020-FY2033."
1.1,1.0,2,Program Management,NASA JSC,"Program-level management functions including control, reporting, contracts, safety, and international coordination for the Gateway Program Office (GPO) at JSC."
1.1.1,1.1,3,Program Control and Reporting,NASA JSC,"Earned value management (EVM), program-level cost and schedule reporting, integrated baseline reviews (IBR), and program performance metrics."
1.1.2,1.1,3,Contracts Management,NASA JSC,"Contracting officer technical representatives (COTRs), contract administration, procurement strategy, source selections, and bilateral modification management."
1.1.3,1.1,3,Safety and Mission Assurance,NASA JSC,"Independent safety reviews, hazard analysis, reliability and quality assurance oversight, human rating compliance (NPR 8705.2C), and nuclear safety (if applicable)."
1.1.4,1.1,3,International Partner Coordination,NASA JSC,"Formal coordination with ESA, JAXA, CSA, and MBRSC via Joint Coordination Boards, Implementing Arrangements, and semiannual partner reviews."
1.1.5,1.1,3,Configuration Management,NASA JSC,"Program-level Configuration Control Boards (CCBs), baseline documentation, engineering change proposal (ECP) process management, and product baseline control."
1.1.6,1.1,3,Schedule and Earned Value Management,NASA JSC,"Integrated Master Schedule (IMS) maintenance in Primavera P6, critical path analysis, schedule risk assessments, and monthly EVM data analysis."
1.1.7,1.1,3,Legislative and External Affairs,NASA JSC,"Congressional reporting, GAO and IG response coordination, public affairs, and outreach to external stakeholders and international diplomacy support."
1.2,1.0,2,Systems Engineering and Integration,NASA JSC,"End-to-end systems engineering covering requirements, interfaces, mass, analysis, risk, human factors, technology maturation, and verification and validation planning."
1.2.1,1.2,3,Requirements Management,NASA JSC,"Gateway system-level and derived requirements development, allocation, verification planning, and maintenance of the Requirements Traceability Matrix (RTM)."
1.2.2,1.2,3,Interface Control,NASA JSC,"Interface Control Documents (ICDs) between all Gateway elements, visiting vehicles, and partner modules; includes mechanical, electrical, thermal, and data interfaces."
1.2.3,1.2,3,Mass Properties Management,NASA JSC,"Mass margin tracking, current best estimate (CBE) reporting, center-of-gravity analysis, and mass reduction coordination; primary risk per GAO-24-106878."
1.2.4,1.2,3,Systems Analysis and Architecture,NASA JSC,"Trajectory design, NRHO maintenance analysis, delta-V budgeting, visiting vehicle accommodation, mission design, and orbital mechanics assessments."
1.2.5,1.2,3,Risk and Reliability Engineering,NASA JSC,"Program risk register maintenance, probabilistic risk assessment (PRA), failure modes and effects analysis (FMEA), and reliability predictions."
1.2.6,1.2,3,Human Factors and Crew Systems Engineering,NASA JSC,"Human-machine interface standards, habitability assessments, crew workload analysis, and human rating compliance per NASA-STD-3001."
1.2.7,1.2,3,Technology Maturation and Readiness,NASA JSC,"Technology Readiness Level (TRL) tracking, critical technology gap closure plans, and technology infusion planning for key Gateway systems."
1.2.8,1.2,3,Verification and Validation Planning,NASA JSC,"V&V plan development, test requirement allocation, and verification method selection (test, analysis, inspection, demonstration) for all Gateway requirements."
1.3,1.0,2,Power and Propulsion Element,Maxar Technologies,"Solar electric propulsion spacecraft providing primary power (~60 kW BOL), thrust, attitude control, and communications relay. Maxar Technologies FFP contract ($375M)."
1.3.1,1.3,3,PPE Structure and Mechanisms,Maxar Technologies,"Primary load-bearing bus structure, deployment mechanisms, separation systems, and structural interface hardware with HALO."
1.3.2,1.3,3,PPE Solar Power Array,Maxar Technologies,"Advanced Roll-Out Solar Array (ROSA) wings providing ~60 kW beginning-of-life power; heritage from ISS ROSA flight demonstration."
1.3.3,1.3,3,PPE Solar Electric Propulsion System,Maxar Technologies,"Advanced Electric Propulsion System (AEPS) Hall-effect ion thrusters (4 x 12.5 kW), xenon propellant tanks, feed system, and power processing units."
1.3.4,1.3,3,PPE Guidance Navigation and Control,Maxar Technologies,"Attitude determination and control system (ADCS), star trackers, inertial measurement units, and reaction control system for fine attitude management."
1.3.5,1.3,3,PPE Communications and Tracking,Maxar Technologies,"High-gain antenna for Earth communication, proximity link transponders for visiting vehicles, and deep space relay capability interface."
1.3.6,1.3,3,PPE Thermal Control,Maxar Technologies,"Radiator panels, heat pipes, thermoelectric heaters, and multi-layer insulation (MLI) blankets for the cis-lunar thermal environment."
1.3.7,1.3,3,PPE Command and Data Handling,Maxar Technologies,"Flight computers, data buses, mass memory, avionics architecture, and data management for autonomous operations during crewed-off periods."
1.3.8,1.3,3,PPE Flight Software,Maxar Technologies,"On-board software for all PPE subsystems including autonomous fault management and 12-month solo demonstration operations software."
1.4,1.0,2,Habitation and Logistics Outpost,Northrop Grumman,"First pressurized crew module providing short-duration habitation, docking ports, logistics storage, and life support. Northrop Grumman prime ($1.122B total)."
1.4.1,1.4,3,HALO Primary Structure and Pressure Vessel,Thales Alenia Space,"Aluminum pressure vessel and primary structural frames; fabricated by Thales Alenia Space Turin, Italy; heritage from Cygnus-derived module design."
1.4.2,1.4,3,HALO Environmental Control and Life Support,Northrop Grumman,"Atmosphere revitalization, water recovery, thermal and humidity control, fire detection and suppression for up to 4 crew for short-duration visits."
1.4.3,1.4,3,HALO Electrical Power Distribution,Northrop Grumman,"Power distribution unit (PDU), secondary power management, battery storage, and crew equipment power outlets; interfaces with PPE primary power."
1.4.4,1.4,3,HALO Communications and Tracking,Northrop Grumman,"Intra-vehicle audio/video, inter-module communication with Gateway elements, and UHF/S-band/Ka-band proximity and relay links."
1.4.5,1.4,3,HALO Thermal Control,Northrop Grumman,"Internal thermal fluid loops, external radiator panels, cold plates for avionics cooling, and fluid loop interface with PPE thermal system."
1.4.6,1.4,3,HALO Avionics and Flight Software,Northrop Grumman,"Integrated avionics unit, fault detection isolation and recovery (FDIR) software, and operational software for crewed and extended uncrewed modes."
1.4.7,1.4,3,HALO Docking and Berthing Mechanisms,Northrop Grumman,"Five International Docking Standard (IDS)-compatible ports for Orion, HLS, I-HAB, ESPRIT, and Lunar Airlock; active and passive docking capability."
1.4.8,1.4,3,HALO Interior Outfitting and Crew Systems,Northrop Grumman,"Crew quarters, galley, waste management, stowage racks, lighting, crew medical equipment, and EVA suit interface provisions."
1.4.9,1.4,3,HALO Radiation Shielding,Northrop Grumman,"Polyethylene storm shelter, water-wall radiation mitigation, and supplemental shielding for solar particle event (SPE) crew protection in cis-lunar environment."
1.5,1.0,2,International Habitation Module,ESA/JAXA - Thales Alenia Space,"ESA-led habitation module with JAXA ECLSS contribution; significantly expands crew habitation volume and life support for longer Artemis lunar missions."
1.5.1,1.5,3,I-HAB Primary Structure,Thales Alenia Space,"Pressure vessel, primary structure, and external interfaces; sized for co-manifested launch on SLS Block 1B as secondary payload with Orion."
1.5.2,1.5,3,I-HAB ECLSS (JAXA Contribution),JAXA / Thales Alenia Space,"Environmental Control and Life Support System designed and delivered by JAXA; includes water recovery and air revitalization for expanded crew capacity."
1.5.3,1.5,3,I-HAB Thermal Control System,Thales Alenia Space,"Internal fluid loops, external panel radiators, and interface connectors to Gateway integrated thermal management system."
1.5.4,1.5,3,I-HAB Communications and Avionics,Thales Alenia Space,"Intra-module and inter-module communication systems, avionics unit, and software integration with Gateway core avionics architecture."
1.5.5,1.5,3,I-HAB Science and Payload Accommodations,ESA,"Standardized payload racks, power and data interfaces for scientific instruments and ESA technology demonstrations in lunar vicinity."
1.5.6,1.5,3,I-HAB Interior Outfitting and Crew Systems,Thales Alenia Space,"Additional crew quarters, recreation area, stowage, viewports, and crew interface panels expanding habitation beyond HALO baseline."
1.5.7,1.5,3,I-HAB Launch Integration and Co-Manifesting,ESA / NASA,"Co-manifested SLS payload adapter, structural separation system, and integration with Artemis IV launch campaign at KSC."
1.5.8,1.5,3,I-HAB Radiation Shielding,Thales Alenia Space,"Polyethylene-based supplemental radiation shielding panels and SPE shelter provisions for the expanded habitation volume in NRHO."
1.6,1.0,2,ESPRIT Module,ESA - Thales Alenia Space,"ESA contribution consisting of Lunar Link (launched 2027 with HALO) and Lunar View (2029) providing communications relay and xenon propellant refueling."
1.6.1,1.6,3,Lunar Link (HALO Lunar Communication System),Thales Alenia Space,"External Ka-band high-rate communication system pre-attached to HALO before launch; provides lunar surface relay and deep space data rates."
1.6.2,1.6,3,Lunar View Module (Pressurized Refueling),Thales Alenia Space / OHB,"Pressurized module with viewports, xenon propellant storage, additional docking port, and habitation corridor; designed under Oct 2024 ESA amendment."
1.6.3,1.6,3,Xenon Propellant Storage and Transfer,Thales Alenia Space,"High-pressure xenon storage tanks, on-orbit transfer lines, valves, and interface hardware for PPE Solar Electric Propulsion system resupply."
1.6.4,1.6,3,Deep Space Optical Communications Terminal,ESA / OHB,"Laser communications terminal providing multi-Gbps data link capability; technology demonstration and operational supplemental link."
1.6.5,1.6,3,ESPRIT Docking Ports and Interface Hardware,Thales Alenia Space,"Passive IDS-compatible docking ports, structural interfaces, and pass-through electrical and fluid connections for Gateway integration."
1.6.6,1.6,3,ESPRIT Ground Segment Support,ESA / ESOC,"ESA ground segment elements supporting ESPRIT operations from ESOC Darmstadt; includes data relay scheduling and refueling operations monitoring."
1.7,1.0,2,Lunar Airlock,MBRSC - Thales Alenia Space,"Airlock module contributed by Mohammed Bin Rashid Space Centre (UAE) enabling extravehicular activity (EVA) directly from Gateway; announced January 2024."
1.7.1,1.7,3,Airlock Primary Structure and Pressure Vessel,Thales Alenia Space,"Double-hatch airlock vessel capable of full depressurization and repressurization cycles supporting Gateway EVA operations in the lunar vicinity."
1.7.2,1.7,3,EVA Support Systems,Thales Alenia Space,"Spacesuit donning/doffing aids, tether attachment points, EVA tools storage, and suit interface panels for lunar spacesuit operations."
