"wbs_id","element_name","cost_type","base_cost","low_cost","high_cost","fiscal_year","contractor","notes","start_fy","end_fy","value_units","base_cost_usd","low_cost_usd","high_cost_usd","cost_scope","basis_type","source_id","methodology_note","traceability_note","confidence_level"
"1.0","Lunar Gateway Program Total","Program Total","7305","6296.1","10469.7","FY2020-FY2033","NASA / Multiple","Program-reference current cost through FY2033. Base value equals the refreshed annual phasing total across WBS 1.1-1.12 plus explicit program reserve detail of $560,000,000. Partner-contribution rows remain reference values rather than NASA appropriation authority.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","7305000000","6296100000","10469700000","program_reference_total","program_rollup_with_explicit_reserve","INT-001;INT-003;INT-004;WEB-006;WEB-007","Program total equals refreshed level-2 current costs plus explicit reserve detail carried in gateway_cost_estimate_detail.csv.","Use source IDs plus gateway_cost_estimate_detail.csv for reserve breakout and annual current-cost support.","medium"
"1.1","Program Management","Non-Recurring","435","368","646","FY2020-FY2033","NASA JSC","Program office staffing at JSC; ~4% of total program cost per NASA Cost Estimating Handbook. Government civil servant labor at $285K/FTE-year blended rate (FY2022 base).","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","435000000","368000000","646000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium"
"1.1.1","Program Control and Reporting","Non-Recurring","68","58","98","FY2020-FY2033","NASA JSC","EVM system, IBR preparation, contractor performance reporting; ~155 FTE-years over program duration.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","68000000","58000000","98000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.1.2","Contracts Management","Non-Recurring","60","50","88","FY2020-FY2033","NASA JSC","Contract awards, modifications, surveillance for ~9 major contracts; procurement office support.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","60000000","50000000","88000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.1.3","Safety and Mission Assurance","Non-Recurring","82","70","122","FY2020-FY2033","NASA JSC","Independent safety reviews, FMEA coordination, safety review panels; ~1% of program cost benchmark.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","82000000","70000000","122000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.1.4","International Partner Coordination","Non-Recurring","55","45","85","FY2020-FY2033","NASA JSC","Joint Coordination Board meetings, implementing arrangements; 4 partner agencies.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","55000000","45000000","85000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.1.5","Configuration Management","Non-Recurring","72","62","105","FY2020-FY2033","NASA JSC","CCB operations, baseline documentation, ECP processing; DOORS and PDM tool licensing.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","72000000","62000000","105000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.1.6","Schedule and Earned Value Management","Non-Recurring","68","58","100","FY2020-FY2033","NASA JSC","IMS development and maintenance in Primavera P6, EVM data analysis, critical path reporting.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","68000000","58000000","100000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.1.7","Legislative and External Affairs","Non-Recurring","30","25","48","FY2020-FY2033","NASA JSC","Congressional reporting, GAO/IG response support, public affairs; annual report to Congress per Authorization Act.","2020","2033","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","30000000","25000000","48000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-004","Subsystem current cost scaled from the legacy technical weighting so child rows reconcile to the refreshed parent total.","Derived from the parent rollup using legacy subsystem weighting; see parent row and annual phasing for the controlling cost basis.","medium"
"1.2","Systems Engineering and Integration","Non-Recurring","398","327","613","FY2020-FY2031","NASA JSC","Government-led SE&I; ~3.7% of program cost per analogous multi-element spacecraft programs (ISS Phase 2 SE baseline).","2020","2031","legacy_cost_fields_in_usd_millions; explicit_usd_fields_in_dollars","398000000","327000000","613000000","program_reference_nasa_led","engineering_build_up_and_schedule_phased","INT-001;INT-003;WEB-006","Current cost reconciled to summed annual phasing for this WBS branch so the annual profile and rollup remain mathematically consistent.","Rolls directly to gateway_cost_phasing.csv for annual support and to gateway_source_reference_register.csv for citation support.","medium"
