task_id,task_name,wbs_id,start_date,end_date,duration_days,predecessor,organization,milestone_flag,critical_flag
T-001,Gateway Program Formulation and Congressional Authorization,1.0,2017-10-01,2018-12-31,457,,NASA HQ,TRUE,TRUE
T-002,Gateway Architecture Studies and Concept Development,1.2.4,2018-01-01,2019-03-31,454,T-001,NASA JSC,FALSE,TRUE
T-003,Independent Cost Estimate Execution and PCA Development,1.1.1,2021-10-01,2022-05-31,242,T-001,NASA JSC / Aerospace Corp,FALSE,TRUE
T-004,Program Commitment Agreement Baseline Approval,1.1.1,2022-06-01,2022-06-01,1,T-003,NASA JSC,TRUE,TRUE
T-005,Integrated Baseline Review - PPE Contract (Maxar),1.1.2,2019-08-01,2019-10-31,91,T-026,NASA JSC,FALSE,FALSE
T-006,Integrated Baseline Review - HALO Contract (Northrop),1.1.2,2021-10-01,2021-12-31,91,T-047,NASA JSC,FALSE,FALSE
T-007,Gateway Environmental Impact Statement (NEPA EIS),1.1.3,2020-01-01,2021-12-31,729,T-001,NASA / NEPA Team,FALSE,FALSE
T-008,Non-Advocate Review (NAR) Pre-PCA,1.1.1,2022-03-01,2022-05-31,91,T-002,Aerospace Corporation,TRUE,TRUE
T-009,Mass Reduction Tiger Team - GAO-24-106878 Response,1.2.3,2024-07-31,2025-09-30,426,T-002,NASA JSC / Maxar / Northrop,FALSE,TRUE
T-010,Annual Program Performance Review FY2025,1.1.1,2025-10-01,2025-12-31,91,T-004,NASA JSC,FALSE,FALSE
T-011,Gateway System Requirements Review (SRR),1.2.1,2019-03-01,2019-06-30,121,T-002,NASA JSC,TRUE,TRUE
T-012,Gateway System Definition Review (SDR),1.2.1,2019-07-01,2019-12-31,183,T-011,NASA JSC,TRUE,TRUE
T-013,Interface Control Document Set Phase 1 - PPE and HALO,1.2.2,2020-01-01,2021-06-30,545,T-012,NASA JSC,FALSE,TRUE
T-014,Interface Control Document Set Phase 2 - Partner Modules,1.2.2,2021-07-01,2023-12-31,913,T-013,NASA JSC,FALSE,FALSE
T-015,Gateway-HLS Interface Control Document Revision,1.2.2,2024-01-01,2025-06-30,545,T-014,NASA JSC / SpaceX,FALSE,TRUE
T-016,Mass Properties Baseline Report Establishment,1.2.3,2022-01-01,2022-06-30,180,T-012,NASA JSC,FALSE,TRUE
