"clin","subclin","description","quantity","unit","unit_price","total_price","option_year","wbs_id","notes","contract_type","pricing_basis","cost_scope","source_id","traceability_note"
"0001","","PROGRAM MANAGEMENT AND SYSTEMS ENGINEERING SUPPORT SERVICES","1","LOT","0","0","BASE","1.1","Base CLIN header for PM and SE&I; cost-plus-fixed-fee (CPFF); NTE ceiling applies to each subclin","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0001","AA","Program Management Services - Base Year FY2022","1","LOT","39000000","39000000","BASE","1.1","CPFF; PM functions including COTR support EVM scheduling safety and partner coordination; NTE $39.0M","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0001","AB","Program Management Services - Option Year 1 FY2023","1","LOT","43200000","43200000","OY1","1.1","CPFF OY1; escalated at 3.2% OMB A-94 GDP deflator; NTE $43.2M","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0001","AC","Program Management Services - Option Year 2 FY2024","1","LOT","43500000","43500000","OY2","1.1","CPFF OY2; NTE $43.5M","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0001","AD","Systems Engineering and Integration Services - Base Year FY2022","1","LOT","38000000","38000000","BASE","1.2","CPFF; requirements mass properties interface control human factors; NTE $38.0M","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0001","AE","Systems Engineering and Integration Services - Option Year 1 FY2023","1","LOT","45000000","45000000","OY1","1.2","CPFF OY1; peak SE effort at PDR-CDR cycle; NTE $45.0M","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0001","AF","Systems Engineering and Integration Services - Option Year 2 FY2024","1","LOT","44900000","44900000","OY2","1.2","CPFF OY2; NTE $44.9M","CPFF","direct_priced_line_item","program_reference_nasa_led","INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0002","","PPE GOVERNMENT TECHNICAL OVERSIGHT SERVICES","1","LOT","0","0","BASE","1.3","Government engineering oversight of Maxar Technologies PPE FFP contract; CPFF support contract","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-001;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0002","AA","PPE Government Technical Oversight - Base Year FY2021","1","LOT","12500000","12500000","BASE","1.3","CPFF; NASA JSC and GRC resident technical oversight team at Maxar Westminster CO; NTE $12.5M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-001;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0002","AB","PPE Government Technical Oversight - Option Year 1 FY2022","1","LOT","13200000","13200000","OY1","1.3","CPFF OY1; PPE CDR support peak technical oversight; NTE $13.2M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-001;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0002","AC","PPE Government Technical Oversight - Option Year 2 FY2023","1","LOT","13800000","13800000","OY2","1.3","CPFF OY2; manufacturing phase oversight; NTE $13.8M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-001;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0002","AD","PPE Government Technical Oversight - Option Year 3 FY2024","1","LOT","14500000","14500000","OY3","1.3","CPFF OY3; integration and test phase oversight; NTE $14.5M","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-001;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
"0003","","HALO FABRICATION AND INTEGRATION GOVERNMENT OVERSIGHT","1","LOT","0","0","BASE","1.4","Government oversight of Northrop Grumman HALO $935M FFP contract; CPFF support services","CPFF","direct_priced_line_item","program_reference_nasa_led","WEB-002;WEB-003;INT-004","Priced line item retained as explicit-dollar evidence that can roll to the related WBS branch or reserve bucket."
