term,acronym,definition,related_wbs,related_artifact
Advanced Electric Propulsion System,AEPS,"NASA-developed Hall-effect ion thruster producing 12.5 kW each; four thrusters installed on PPE for NRHO orbit maintenance and transit; developed by Aerojet Rocketdyne under NASA Glenn Research Center contract",1.3.3,gateway_cost_estimate.csv
Artemis Program,Artemis,"NASA program to return humans to the Moon using SLS Orion Gateway and Human Landing System; Gateway is one of three primary Artemis program elements",1.0,gateway_CARD.rtf
Authority to Operate,ATO,"Cybersecurity accreditation under FISMA (Federal Information Security Modernization Act) certifying that a system is authorized for operation after security risk assessment",1.11.6,gateway_contract_documents_tracker.csv
Baseline Cost Estimate,BCE,"The approved documented cost estimate against which program cost performance is measured; established at Program Commitment Agreement (PCA) milestone M-009",1.1.6,gateway_cost_estimate.csv
Canadian Space Agency,CSA,"Government space agency of Canada; contributing Canadarm3 robotic system to Gateway under Implementing Arrangement; crew access rights provided in exchange",1.8,gateway_wbs.csv
Canadarm3,CA3,"Next-generation robotic arm system contributed by CSA including 17m large arm and small dexterous arm with AI autonomy; built by MDA Space",1.8,gateway_wbs.csv
Center of Gravity,CG,"The point at which a bodys total weight is concentrated; critical for PPE attitude control authority calculations especially when Starship HLS is docked (R-002)",1.2.3,gateway_risk_register.csv
Command and Data Handling,C&DH,"Spacecraft subsystem responsible for receiving commands distributing to subsystems collecting telemetry and storing data; PPE C&DH in WBS 1.3.7",1.3.7,gateway_wbs.csv
Concept of Operations,ConOps,"Document describing the operational concept for a system including users activities workflows and environment; Gateway ConOps is CD-022",1.12,gateway_contract_documents_tracker.csv
Configuration Control Board,CCB,"Formal review body that governs changes to the program baseline; changes above threshold require CCB approval before implementation",1.1.5,gateway_contract_documents_tracker.csv
Contract Data Requirements List,CDRL,"List of data items required to be delivered under a contract; specifies format frequency and recipient for each deliverable; governs all technical document deliveries",1.1.2,gateway_contract_documents_tracker.csv
Contracting Officer Technical Representative,COTR,"Government representative designated to monitor technical performance on a contract and serve as technical liaison between the government and contractor",1.1.2,gateway_master_schedule.csv
Cost Analysis Requirements Description,CARD,"Document defining scope assumptions boundaries and data requirements for an independent cost estimate; gateway CARD is CD-041; required per NPR 7120.5F",1.0,gateway_CARD.rtf
Cost Performance Index,CPI,"EVM metric equal to BCWP divided by ACWP; CPI less than 1.0 indicates cost overrun; Northrop Grumman HALO CPI below 1.0 per 2023 contractor charges (R-003)",1.1.6,gateway_cost_estimate.csv
Critical Design Review,CDR,"Formal review at which design is sufficiently mature to proceed to fabrication; PPE CDR at M-010; HALO CDR at M-011; I-HAB CDR at M-016",1.2.1,gateway_master_schedule.csv
Current Best Estimate,CBE,"Current mass or cost estimate reflecting latest design information before margins are applied; contrasted with Predicted Mass or cost at completion",1.2.3,gateway_contract_documents_tracker.csv
Deep Space Network,DSN,"NASA global antenna network providing communications with deep space missions; operated by JPL from Goldstone CA Madrid Spain and Canberra Australia; Gateway integration per T-142",1.11.2,gateway_wbs.csv
Delta-V,dV,"Change in velocity; measure of propulsive effort for orbital maneuvers in meters per second; NRHO station-keeping requires ~10 m/s per year per T-038 analysis",1.2.4,gateway_cost_estimate.csv
Design Reference Mission,DRM,"Specific mission scenario used as basis for system design requirements; Gateway DRM encompasses NRHO operations Artemis crewed missions and visiting vehicle support",1.2.4,gateway_master_schedule.csv
Dexterous Robotic System,DRS,"Canadarm3 small arm enabling fine manipulation servicing and inspection; AI-enabled; key component of WBS 1.8.2",1.8.2,gateway_wbs.csv
Earned Value Management,EVM,"Project management technique integrating scope schedule and cost using BCWS BCWP and ACWP; required for all Gateway cost-reimbursable contracts above threshold",1.1.6,gateway_contract_documents_tracker.csv
Environmental Control and Life Support System,ECLSS,"System providing breathable atmosphere water recovery temperature control fire detection and waste management for crew; HALO ECLSS in 1.4.2; I-HAB ECLSS in 1.5.2",1.4.2,gateway_wbs.csv
European Space Agency,ESA,"Multi-national European space organization; contributing I-HAB and ESPRIT to Gateway; formal Implementing Arrangement with NASA; managed from ESTEC Netherlands",1.5,gateway_wbs.csv
European System Providing Refueling Infrastructure and Telecommunications,ESPRIT,"ESA contribution consisting of Lunar Link (launched 2027 pre-attached to HALO) and Lunar View module (2029) providing communications and xenon propellant refueling",1.6,gateway_wbs.csv
Exploration Upper Stage,EUS,"Upper stage for SLS Block 1B providing additional performance to lunar orbit; required for I-HAB co-manifested launch on Artemis IV; development risk identified as R-013",1.10.2,gateway_risk_register.csv
