"detail_id","parent_detail_id","wbs_id","detail_level","detail_name","fy","cost_component","amount_musd","amount_usd","cost_scope","basis_type","source_id","traceability_note"
"D-1.0-RESERVE-TOTAL","","1.0","1","Program reserve and unallocated future requirements","","reserve_total","560","560000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Explicit program reserve carried outside the branch-level current-cost rollups."
"D-1.0-ESTIMATION_UNCERTAINTY","D-1.0-RESERVE-TOTAL","1.0","2","estimation uncertainty","","estimation uncertainty","350","350000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Explicit planning reserve for estimating uncertainty across the development peak."
"D-1.0-MASS_REDUCTION","D-1.0-RESERVE-TOTAL","1.0","2","mass reduction","","mass reduction","85","85000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Explicit reserve for mass-reduction design changes and associated rework tied to the GAO-identified risk."
"D-1.0-SCHEDULE_RECOVERY","D-1.0-RESERVE-TOTAL","1.0","2","schedule recovery","","schedule recovery","125","125000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Explicit planning reserve placed around the critical integration, launch, and first-crewed-visit window."
"D-1.0-ESTIMATION_UNCERTAINTY-FY2024","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2024","FY2024","estimation uncertainty","35","35000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-ESTIMATION_UNCERTAINTY-FY2025","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2025","FY2025","estimation uncertainty","45","45000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-MASS_REDUCTION-FY2025","D-1.0-MASS_REDUCTION","1.0","3","MASS REDUCTION.ToLower() FY2025","FY2025","mass reduction","20","20000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-ESTIMATION_UNCERTAINTY-FY2026","D-1.0-ESTIMATION_UNCERTAINTY","1.0","3","ESTIMATION UNCERTAINTY.ToLower() FY2026","FY2026","estimation uncertainty","55","55000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-MASS_REDUCTION-FY2026","D-1.0-MASS_REDUCTION","1.0","3","MASS REDUCTION.ToLower() FY2026","FY2026","mass reduction","40","40000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
"D-1.0-SCHEDULE_RECOVERY-FY2026","D-1.0-SCHEDULE_RECOVERY","1.0","3","SCHEDULE RECOVERY.ToLower() FY2026","FY2026","schedule recovery","30","30000000","program_reference_total","management_reserve_planning_allocation","INT-004;WEB-006","Annual reserve placement is managerial planning judgment informed by risk timing and schedule concentration."
