source_id,title,publisher,pub_date,authority_tier,source_type,location,relevance,notes
INT-001,Gateway Cost Analysis Requirements Description (CARD),NASA JSC,2022-06-01,internal_controlled,rtf,"Contract_Cost_Schedule Documents/docs/gateway_CARD.rtf","Primary internal scope, assumptions, and cost-method baseline","Preserved as existing strong document; used as baseline for methodology and scope separation."
INT-002,Gateway WBS Dictionary,NASA JSC,2022-06-01,internal_controlled,rtf,"Contract_Cost_Schedule Documents/docs/gateway_wbs_dictionary.rtf","Primary internal WBS definition source","Preserved as existing strong document; used for rollup naming and WBS intent."
INT-003,Gateway Integrated Master Schedule Extract,NASA JSC,2025-03-31,internal_working,csv,"Contract_Cost_Schedule Documents/data/gateway_master_schedule.csv","Schedule-driven phasing, milestone NET dates, and integration logic","Used to phase cost by year and support milestone/risk traceability."
INT-004,Gateway Section B Pricing Extract,NASA JSC,2025-03-31,internal_working,csv,"Contract_Cost_Schedule Documents/data/gateway_section_b_pricing.csv","Priced line items, reserves, and support-service anchors","Used as direct priced evidence where contract-backed values were available."
WEB-001,NASA Awards Artemis Contract for Lunar Gateway Power, Propulsion,NASA,2019-05-23,authoritative_public,news_release,https://www.nasa.gov/news-release/nasa-awards-artemis-contract-for-lunar-gateway-power-propulsion/,"PPE contract value, contract type, and option structure","Direct source for the Maxar PPE award and associated pricing basis."
WEB-002,NASA Awards Northrop Grumman Artemis Contract for Gateway Crew Cabin,NASA,2020-06-05,authoritative_public,news_release,https://www.nasa.gov/news-release/nasa-awards-northrop-grumman-artemis-contract-for-gateway-crew-cabin/,"HALO preliminary design contract value and scope","Direct source for the initial HALO design award."
WEB-003,NASA, Northrop Grumman Finalize Moon Outpost Living Quarters Contract,NASA,2021-07-09,authoritative_public,news_release,https://www.nasa.gov/news-release/nasa-northrop-grumman-finalize-moon-outpost-living-quarters-contract/,"HALO fabrication and integration contract value and launch-prep scope","Direct source for the HALO firm-fixed-price fabrication and integration award."
WEB-004,NASA Awards Contract to Launch Initial Elements for Lunar Outpost,NASA,2021-02-09,authoritative_public,news_release,https://www.nasa.gov/news-release/nasa-awards-contract-to-launch-initial-elements-for-lunar-outpost/,"Falcon Heavy launch services contract value","Direct source for the PPE-HALO launch services contract."
WEB-005,NASA, United Arab Emirates Announce Artemis Lunar Gateway Airlock,NASA,2024-01-07,authoritative_public,news_release,https://www.nasa.gov/news-release/nasa-united-arab-emirates-announce-artemis-lunar-gateway-airlock/,"Formal announcement of the UAE Crew and Science Airlock contribution","Used to support airlock scope and contribution ownership."
WEB-006,Artemis Programs: NASA Should Document and Communicate Plans to Address Gateway's Mass Risk,GAO,2024-07-31,authoritative_public,report,https://www.gao.gov/products/gao-24-106878,"Mass-risk posture, Gateway initial capability baseline, and schedule pressure","Primary external oversight source for mass-risk-driven schedule and reserve reasoning."
WEB-007,FY 2025 Congressional Justification,NASA,2024-04-15,authoritative_public,budget_pdf,https://www.nasa.gov/wp-content/uploads/2024/03/nasa-fy-2025-congressional-justification.pdf,"Budget structure and Gateway Initial Capability framing","Used as an external reasonableness check for annual phasing and scope."
WEB-008,2019-20 Departmental Results Report,Canadian Space Agency,2020-12-31,authoritative_public,government_report,https://www.asc-csa.gc.ca/eng/publications/drr-2019-2020.asp,"Canadian commitment level for Lunar Gateway and Canadarm3","Used to support the long-range Canadarm3 investment reference value."
WEB-009,The Canadian Space Agency begins design of Canadarm3,Canadian Space Agency,2022-03-10,authoritative_public,news_release,https://www.asc-csa.gc.ca/eng/news/articles/2022/20220310-canadian-space-agency-begins-design-canadarm3.asp,"Canadarm3 preliminary design award and near-term spending anchor","Used as a priced public reference for robotics development."
WEB-010,Thales Alenia Space on its way to reach the Moon,Thales Alenia Space,2020-10-14,credible_partner,press_release,https://www.thalesaleniaspace.com/en/press-releases/thales-alenia-space-its-way-reach-moon,"I-HAB contract total and ESA module scope","Used for I-HAB program-reference value because an equivalent ESA primary source was not readily available."
WEB-011,Thales Alenia Space: at the heart of lunar industrial challenges,Thales Alenia Space,2021-01-07,credible_partner,industry_news,https://www.thalesaleniaspace.com/en/news/thales-alenia-space-heart-lunar-industrial-challenges,"Initial ESPRIT contract value","Used for ESPRIT initial contract amount where the contractor announcement provided the clearest cited value."
WEB-012,ESPRIT module for Lunar Gateway orbital outpost set for a significant upgrade,Thales Alenia Space,2024-10-14,credible_partner,press_release,https://www.thalesaleniaspace.com/en/press-releases/esprit-module-lunar-gateway-orbital-outpost-set-significant-upgrade,"ESPRIT amendment value and revised scope","Used to update the ESPRIT reference estimate with the 2024 contract amendment."
