milestone_id,milestone_name,date,related_task,program_phase,notes
M-001,Gateway Program Authorization and Formulation,2017-11-01,T-001,Formulation,"NASA Authorization Act of 2017 and Space Policy Directive 1 (December 2017) directed NASA to develop a lunar orbital platform. Program formulation begins."
M-002,Gateway System Requirements Review (SRR),2019-06-30,T-011,Formulation,"Top-level system requirements reviewed and approved; first formal technical review for the Gateway program establishing Level 1 and Level 2 requirements baseline."
M-003,PPE Contract Award - Maxar Technologies $375M FFP,2019-05-23,T-026,Development,"NASA selected Maxar Technologies for PPE development under $375M firm-fixed-price contract. First major contract award for Gateway hardware. Source: NASA press release May 23 2019."
M-004,Gateway System Definition Review (SDR),2019-12-31,T-012,Formulation,"System-level design reference mission confirmed; architecture baseline established; SDR closes formulation phase and opens preliminary design cycle."
M-005,HALO Phase A-B Contract Award - Northrop Grumman $187M,2020-06-05,T-047,Development,"Northrop Grumman Innovation Systems awarded $187M for HALO preliminary design phase. Source: NASA press release June 5 2020."
M-006,SpaceX Falcon Heavy Launch Services Contract Award $331.8M,2021-02-09,T-131,Development,"NASA awarded $331.8M firm-fixed-price contract to SpaceX for Falcon Heavy Block 5 Expendable launch of PPE-HALO stack. Source: NASA press release February 9 2021."
M-007,HALO Fabrication and Integration Contract Award $935M,2021-07-09,T-049,Development,"NASA finalized $935M contract with Northrop Grumman for HALO fabrication and PPE-HALO integration at NGIS Gilbert AZ. Source: NASA press release July 9 2021."
M-008,Non-Advocate Review (NAR) Pre-PCA Complete,2022-05-31,T-008,Development,"Aerospace Corporation completes Non-Advocate Review validating Gateway program cost schedule and technical readiness for Program Commitment Agreement. Key gate before PCA."
M-009,Program Commitment Agreement (PCA) Baseline Approval,2022-06-01,T-004,Development,"NASA Associate Administrator for Exploration Systems Development approves Gateway PCA; cost schedule and technical baselines officially established. Lifecycle cost baseline ~$6.8B FY2020-FY2033."
M-010,PPE Critical Design Review (CDR) Complete,2022-09-15,T-029,Development,"Maxar Technologies completes PPE CDR at Westminster CO; design frozen for fabrication. All CDR action items tracked for closure before T-039. Source: program records."
M-011,HALO Critical Design Review (CDR) Complete,2022-11-10,T-050,Development,"Northrop Grumman completes HALO CDR. Review identified mass margin risks and ECLSS performance concerns. Twelve review item discrepancies (RIDs) opened; 11 closed by CDR+90 days; 1 mass-related RID tracked under T-009."
M-012,I-HAB Preliminary Design Review (PDR) Complete,2022-12-31,T-077,Development,"Thales Alenia Space under ESA oversight completes I-HAB PDR; JAXA ECLSS section submitted separately. Habitation volume and docking interface baselined."
M-013,PPE Pre-Shipment Review Complete,2024-12-31,T-044,Fabrication,"Maxar Technologies completes PPE Pre-Shipment Review at Westminster CO. PPE cleared for transport to NGIS Gilbert AZ. All open action items dispositioned."
M-014,HALO Pressure Vessel Delivery to NGIS Gilbert AZ,2024-09-30,T-062,Fabrication,"Thales Alenia Space completes HALO pressure vessel fabrication in Turin Italy and delivers module to Northrop Grumman NGIS facility in Gilbert Arizona. Major fabrication milestone. Source: TAS progress reports."
M-015,PPE Delivery to NGIS Gilbert AZ,2025-02-28,T-045,Integration,"Maxar Technologies delivers completed PPE spacecraft to NGIS Gilbert AZ for integration with HALO. Triggers start of T-118 PPE-HALO mechanical integration."
M-016,I-HAB Critical Design Review (CDR) Complete,2025-09-30,T-078,Development,"Thales Alenia Space completes I-HAB CDR under ESA oversight at TAS Turin; JAXA ECLSS design confirmed. I-HAB design frozen for fabrication phase starting T-079."
M-017,PPE-HALO Mechanical Integration Complete,2025-09-30,T-118,Integration,"PPE and HALO mechanically mated at NGIS Gilbert AZ; functional interface testing of all mechanical electrical thermal and data connections begins. Major integration milestone."
M-018,PPE-HALO Integrated System Test Complete,2026-01-31,T-119,Integration,"End-to-end avionics and software integrated system test completed at NGIS; all interfaces verified including HALO-to-PPE power thermal and data links."
M-019,PPE-HALO Acoustic and Vibration Environmental Test Complete,2026-05-31,T-121,Test,"Acoustic and vibration environmental testing completed; structural margins verified to launch loads; modal survey data correlated to analytical models."
M-020,PPE-HALO Thermal Vacuum Environmental Test Complete,2026-09-30,T-122,Test,"Thermal vacuum test completed; thermal model correlated to test data; all subsystems verified to operate across expected cis-lunar temperature extremes."
M-021,ESPRIT Lunar Link Integration on HALO Complete,2026-11-30,T-124,Integration,"ESPRIT Lunar Link (HALO Lunar Communication System) successfully integrated onto PPE-HALO assembly at NGIS; interface verification complete. Increases Gateway communication capability from Day 1 of launch."
M-022,PPE-HALO Pre-Shipment Review Complete,2026-12-31,T-125,Integration,"Final pre-shipment review certifies PPE-HALO-HLCS stack ready for transport to Kennedy Space Center. All open items closed. Initiates KSC launch campaign."
M-023,Launch Readiness Review - PPE-HALO Falcon Heavy,2026-11-30,T-131,Launch,"Final major program review certifying PPE-HALO stack Falcon Heavy KSC processing and mission operations are ready to proceed to launch. Attended by all stakeholders including international partners."
M-024,PPE-HALO Launch on Falcon Heavy - L-Day,2027-04-30,T-132,Launch,"NET April 30 2027; SpaceX Falcon Heavy Block 5 Expendable launches PPE-HALO from KSC LC-39A; Trans-Lunar Injection trajectory to NRHO. First Gateway element in space. Critical program milestone."
M-025,PPE AEPS 12-Month Solo Demonstration Complete,2027-06-30,T-133,Operations,"PPE completes required solar electric propulsion solo demonstration verifying AEPS performance in space environment before HALO systems activated. Contractual milestone in Maxar FFP contract."
M-026,NRHO Insertion and Orbit Verification Complete,2028-02-28,T-135,Operations,"Following approximately 7-month low-thrust transit PPE-HALO arrives in target NRHO and orbit is verified by GSFC FDF. Gateway operational in lunar orbit. Stationkeeping operations begin."
M-027,Gateway Initial On-Orbit Test Complete - HALO Ready for Crew,2028-04-30,T-137,Operations,"Initial On-Orbit Testing (IOT) of all PPE and HALO systems complete. HALO life support pressurized. Gateway declared ready for first crewed visit. Operationally enables Artemis IV."
M-028,Artemis IV Launch Readiness Review Complete,2028-09-15,T-138,Launch,"LRR for Artemis IV certifies SLS Block 1B Orion crew I-HAB co-manifest and Gateway receiving conditions all meet requirements to proceed with first crewed Gateway mission."
M-029,Artemis IV Launch - SLS Block 1B First Crewed Gateway Visit,2028-10-01,T-139,Launch,"NET October 1 2028; Artemis IV launches on SLS Block 1B with Orion crew and I-HAB co-manifested payload. First crewed mission to Lunar Gateway. Major Artemis program milestone."
M-030,Orion First Docking at HALO - Crewed Gateway Arrival,2028-10-06,T-140,Operations,"Artemis IV Orion crew docks at HALO. First humans at Lunar Gateway. Historical milestone comparable to first ISS crewed docking."
M-031,I-HAB Berthing and Activation Complete,2028-10-10,T-159,Operations,"I-HAB separated from SLS and crew-assisted berthed to Gateway HALO docking port; activation and checkout of I-HAB systems begins including JAXA ECLSS commissioning."
M-032,ESPRIT Lunar View Launch,2029-07-01,T-096,Launch,"ESPRIT Lunar View module launched on commercial vehicle; NET July 1 2029 per ESA schedule. Adds pressurized volume viewports xenon storage and refueling capability to Gateway."
M-033,ESPRIT Xenon Propellant Transfer Demonstration Complete,2029-10-31,T-162,Operations,"First on-orbit xenon propellant transfer from ESPRIT Lunar View to PPE SEP tanks demonstrated successfully; validates NRHO refueling concept and extends Gateway service life."
M-034,Canadarm3 Delivery and Launch on Artemis V,2030-03-01,T-116,Launch,"Canadarm3 large arm and small dexterous arm delivered and launched on SLS Artemis V mission. Adds critical external maintenance and element assembly robotic capability to Gateway."
M-035,Canadarm3 On-Orbit Commissioning Complete,2030-05-31,T-117,Operations,"Canadarm3 large arm and small dexterous arm fully commissioned on-orbit; first autonomous inspection task completed; AI-enabled operations verified to required TRL in operational environment."
M-036,UAE Airlock Launch,2030-10-01,T-106,Launch,"UAE Airlock module launched NET October 1 2030; enables extravehicular activity directly from Gateway without requiring Orion airlock utilization. First UAE hardware in deep space."
M-037,Gateway Full Initial Operational Capability Declaration,2031-06-01,T-165,Operations,"All baseline Gateway elements integrated and operational: PPE HALO I-HAB ESPRIT Lunar Link and Lunar View Canadarm3 and UAE Airlock. Gateway declared fully operational for sustained Artemis crewed missions. Program IOC milestone."
